382140	`202520260ACR18`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`SharpCollins`	2025-02-05 00:00:00	2025-01-22 00:00:00	NULL	BILL_ANALYSIS_TBL_52.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-02-05 15:38:02
382217	`202520260ACR19`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`Macedo`	2025-03-05 00:00:00	2025-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_53.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-03-05 15:34:02
382149	`202520260ACR19`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Macedo`	2025-02-07 14:08:37	2025-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_54.lob	`Y`	`Y`	`erkemw`	2025-02-07 14:08:37
382157	`202520260ACR19`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`MACEDO`	2025-02-13 00:00:00	2025-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_55.lob	`Y`	`Y`	`CS_MP`	2025-02-19 16:49:43
382249	`202520260ACR2`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Jackson`	2025-03-07 14:52:38	2024-12-02 00:00:00	NULL	BILL_ANALYSIS_TBL_56.lob	`Y`	`Y`	`erkemw`	2025-03-07 14:52:38
382132	`202520260ACR20`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Macedo`	2025-01-31 14:29:42	2025-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_57.lob	`Y`	`Y`	`erkemw`	2025-01-31 14:29:42
382146	`202520260ACR20`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`MACEDO`	2025-02-05 00:00:00	2025-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_58.lob	`Y`	`Y`	`CS_MP`	2025-02-05 17:45:47
382174	`202520260ACR20`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`Macedo`	2025-02-19 00:00:00	2025-01-23 00:00:00	NULL	BILL_ANALYSIS_TBL_59.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-02-19 16:02:02
382133	`202520260ACR22`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Muratsuchi`	2025-01-31 14:30:29	2025-01-24 00:00:00	NULL	BILL_ANALYSIS_TBL_60.lob	`Y`	`Y`	`erkemw`	2025-01-31 14:30:29
382175	`202520260ACR22`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`Muratsuchi`	2025-02-19 00:00:00	2025-01-24 00:00:00	NULL	BILL_ANALYSIS_TBL_61.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-02-19 16:02:02
382150	`202520260ACR26`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Bonta`	2025-02-07 14:12:22	2025-02-05 00:00:00	NULL	BILL_ANALYSIS_TBL_62.lob	`Y`	`Y`	`erkemw`	2025-02-07 14:12:22
382185	`202520260ACR26`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`Bonta`	2025-02-26 00:00:00	2025-02-05 00:00:00	NULL	BILL_ANALYSIS_TBL_63.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-02-26 15:56:02
382218	`202520260ACR27`	`S`	`FLOOR`	`CZ09`	`Sen. Floor Analyses`	`BlancaRubio`	2025-03-05 00:00:00	2025-02-13 00:00:00	NULL	BILL_ANALYSIS_TBL_64.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-03-05 15:34:02
382159	`202520260ACR27`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Blanca Rubio`	2025-02-14 11:33:40	2025-02-13 00:00:00	NULL	BILL_ANALYSIS_TBL_65.lob	`Y`	`Y`	`erkemw`	2025-02-14 11:33:40
382170	`202520260ACR27`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`BLANCA`	2025-02-19 00:00:00	2025-02-13 00:00:00	NULL	BILL_ANALYSIS_TBL_66.lob	`Y`	`Y`	`BILL_ANALYSIS`	2025-02-19 15:46:03
382171	`202520260ACR28`	`A`	`ATR`	`CZ01`	`ASSEMBLY FLOOR ANALYSIS`	`ORTEGA`	2025-02-19 00:00:00	2025-02-05 00:00:00	NULL	BILL_ANALYSIS_TBL_67.lob	`Y`	`Y`	`CS_MP`	2025-02-20 10:21:56
382160	`202520260ACR28`	`A`	`ABPCA`	`CX20`	`Assembly Rules`	`Ortega`	2025-02-14 11:49:08	2025-02-05 00:00:00	NULL	BILL_ANALYSIS_TBL_68.lob	`Y`	`Y`	`erkemw`	2025-02-14 11:49:08
